Round,Total Timesteps,Win Rate as Black,Win Rate as White,Overall Win Rate
A_Round_63,3301376,0.0000,0.0000,0.0000,0.8839
A_Round_64,3354624,0.0100,0.0000,0.0050,0.8837
A_Round_65,3407872,0.0100,0.0100,0.0100,0.8957
A_Round_66,3461120,0.0000,0.0000,0.0000,0.8654
A_Round_67,3514368,0.0000,0.0000,0.0000,0.8815
A_Round_68,3567616,0.0000,0.0000,0.0000,0.9053
A_Round_69,3620864,0.0000,0.0100,0.0050,0.8565
A_Round_70,3674112,0.0100,0.0000,0.0050,0.8619
A_Round_71,3727360,0.0000,0.0000,0.0000,0.8750
A_Round_72,3780608,0.0000,0.0000,0.0000,0.8589
A_Round_73,3833856,0.0000,0.0100,0.0050,0.8825
A_Round_74,3887104,0.0000,0.0000,0.0000,0.8854
A_Round_75,3940352,0.0000,0.0000,0.0000,0.8845
A_Round_76,3993600,0.0000,0.0100,0.0050,0.8803
A_Round_77,4046848,0.0000,0.0000,0.0000,0.8758
A_Round_78,4100096,0.0000,0.0000,0.0000,0.8879
A_Round_79,4153344,0.0100,0.0100,0.0100,0.8794
A_Round_80,4206592,0.0000,0.0100,0.0050,0.8729
A_Round_81,4259840,0.0000,0.0000,0.0000,0.8778
A_Round_82,4313088,0.0000,0.0000,0.0000,0.8844
A_Round_83,4366336,0.0100,0.0000,0.0050,0.8939
A_Round_84,4419584,0.0000,0.0000,0.0000,0.8624
A_Round_85,4472832,0.0000,0.0000,0.0000,0.8638
A_Round_86,4526080,0.0000,0.0000,0.0000,0.8863
A_Round_87,4579328,0.0100,0.0100,0.0100,0.8805
A_Round_88,4632576,0.0000,0.0000,0.0000,0.8669
A_Round_89,4685824,0.0000,0.0100,0.0050,0.8962
A_Round_1,0,0.2600,0.2700,0.2650,0.4823
A_Round_2,53248,0.3700,0.2700,0.3200,0.5101
A_Round_3,106496,0.3200,0.2400,0.2800,0.5235
A_Round_4,159744,0.2400,0.2400,0.2400,0.5250
A_Round_5,212992,0.1700,0.2100,0.1900,0.5065
A_Round_6,266240,0.2200,0.2100,0.2150,0.4956
A_Round_7,319488,0.2200,0.2900,0.2550,0.5092
A_Round_8,372736,0.3400,0.2900,0.3150,0.5275
A_Round_9,425984,0.2800,0.2700,0.2750,0.5637
A_Round_10,479232,0.3000,0.2600,0.2800,0.5000
A_Round_11,532480,0.2100,0.1700,0.1900,0.5049
A_Round_12,585728,0.1200,0.1500,0.1350,0.5544
A_Round_1,585728,0.1300,0.0900,0.1100,0.4932
A_Round_2,638976,0.2600,0.2200,0.2400,0.5122
A_Round_3,692224,0.2900,0.2600,0.2750,0.5069
A_Round_4,745472,0.2100,0.2700,0.2400,0.4934
A_Round_5,798720,0.0300,0.0800,0.0550,0.5347
A_Round_6,851968,0.0200,0.0600,0.0400,0.5286
A_Round_7,905216,0.0300,0.0600,0.0450,0.5355
A_Round_8,958464,0.0200,0.0500,0.0350,0.4904
A_Round_9,1011712,0.0400,0.0400,0.0400,0.4929
A_Round_10,1064960,0.0200,0.0400,0.0300,0.5032
A_Round_11,1118208,0.0400,0.0300,0.0350,0.5129
A_Round_12,1171456,0.0900,0.1300,0.1100,0.4956
A_Round_13,1224704,0.1700,0.2300,0.2000,0.4650
A_Round_14,1277952,0.2900,0.2000,0.2450,0.4892
A_Round_15,1331200,0.2600,0.3100,0.2850,0.5269
A_Round_16,1384448,0.3100,0.2500,0.2800,0.4612
A_Round_17,1437696,0.1600,0.2800,0.2200,0.5115
A_Round_18,1490944,0.1700,0.2300,0.2000,0.4789
A_Round_19,1544192,0.1100,0.1800,0.1450,0.4753
A_Round_20,1597440,0.1600,0.2000,0.1800,0.4602
A_Round_21,1650688,0.0100,0.0600,0.0350,0.4927
A_Round_22,1703936,0.0800,0.0500,0.0650,0.5027
A_Round_23,1757184,0.0100,0.0500,0.0300,0.5760
A_Round_1,0,0.2500,0.3000,0.2750,0.5508
A_Round_2,53248,0.2400,0.2800,0.2600,0.5144
A_Round_3,106496,0.2300,0.2500,0.2400,0.4829
A_Round_4,159744,0.1800,0.1800,0.1800,0.4973
A_Round_5,212992,0.1800,0.1800,0.1800,0.5053
A_Round_6,266240,0.1700,0.1800,0.1750,0.4864
A_Round_7,319488,0.1300,0.1300,0.1300,0.5027
A_Round_8,372736,0.1600,0.1200,0.1400,0.5022
A_Round_9,425984,0.2400,0.1400,0.1900,0.4959
A_Round_10,479232,0.1200,0.1800,0.1500,0.4586
A_Round_11,532480,0.1800,0.2000,0.1900,0.4687
A_Round_12,585728,0.1600,0.1900,0.1750,0.5461
A_Round_13,638976,0.0500,0.0400,0.0450,0.4743
A_Round_14,692224,0.0300,0.0400,0.0350,0.5316
A_Round_15,745472,0.0100,0.0700,0.0400,0.4647
A_Round_16,798720,0.0100,0.0200,0.0150,0.4783
A_Round_17,851968,0.0700,0.0000,0.0350,0.5266
A_Round_18,905216,0.0100,0.0100,0.0100,0.5132
A_Round_19,958464,0.0100,0.0100,0.0100,0.4795
A_Round_20,1011712,0.0100,0.0100,0.0100,0.4570
A_Round_21,1064960,0.0200,0.0000,0.0100,0.4845
A_Round_22,1118208,0.0200,0.0100,0.0150,0.4906
A_Round_23,1171456,0.0000,0.0300,0.0150,0.5183
A_Round_24,1224704,0.0400,0.0200,0.0300,0.4968
A_Round_25,1277952,0.0200,0.0200,0.0200,0.5000
A_Round_26,1331200,0.1100,0.0600,0.0850,0.4739
A_Round_27,1384448,0.1700,0.1400,0.1550,0.4745
A_Round_28,1437696,0.1500,0.1400,0.1450,0.4606
A_Round_29,1490944,0.2500,0.2700,0.2600,0.4875
A_Round_30,1544192,0.1700,0.2200,0.1950,0.4777
A_Round_31,1597440,0.3400,0.2600,0.3000,0.4403
A_Round_32,1650688,0.1700,0.1700,0.1700,0.4651
A_Round_33,1703936,0.1400,0.1300,0.1350,0.4681
A_Round_34,1757184,0.1300,0.1600,0.1450,0.5193
A_Round_35,1810432,0.0000,0.0200,0.0100,0.5694
A_Round_36,1863680,0.1500,0.1000,0.1250,0.6749
A_Round_37,1916928,0.1500,0.0900,0.1200,0.7441
A_Round_38,1970176,0.0800,0.0700,0.0750,0.8141
A_Round_39,2023424,0.0200,0.0200,0.0200,0.8673
A_Round_40,2076672,0.2600,0.3100,0.2850,0.8475
A_Round_41,2129920,0.1800,0.2400,0.2100,0.8922
A_Round_42,2183168,0.0800,0.1000,0.0900,0.8625
A_Round_43,2236416,0.1200,0.1000,0.1100,0.8709
A_Round_44,2289664,0.1200,0.1300,0.1250,0.8489
A_Round_45,2342912,0.1400,0.2200,0.1800,0.9048
A_Round_46,2396160,0.1700,0.2500,0.2100,0.9074
A_Round_47,2449408,0.2200,0.0600,0.1400,0.8859
A_Round_48,2502656,0.1200,0.1900,0.1550,0.8980
A_Round_49,2555904,0.1200,0.1700,0.1450,0.8764
A_Round_50,2609152,0.1600,0.2000,0.1800,0.8871
A_Round_51,2662400,0.2100,0.1400,0.1750,0.8722
A_Round_52,2715648,0.1800,0.1600,0.1700,0.8796
