Stage,Model A Entropy,Model B Entropy,Round 1 Win Rate (A Black),Round 2 Win Rate (B Black)
168,0.45000,0.50000,1.0000,0.1100
169,0.45000,0.50000,1.0000,0.0400
170,0.45000,0.50000,1.0000,0.0000
171,0.45000,0.50000,1.0000,0.0000
172,0.45000,0.50000,1.0000,0.0000
173,0.45000,0.50000,1.0000,0.0000
174,0.45000,0.50000,0.9900,0.0000
175,0.45000,0.50000,1.0000,0.0000
176,0.45000,0.50000,1.0000,0.0000
177,0.45000,0.50000,1.0000,0.0000
178,0.45000,0.50000,1.0000,0.0000
179,0.45000,0.50000,1.0000,0.0000
180,0.45000,0.50000,1.0000,0.0100
181,0.45000,0.50000,1.0000,0.0000
182,0.45000,0.50000,1.0000,0.0000
183,0.45000,0.50000,1.0000,0.0000
184,0.45000,0.50000,0.9900,0.0000
185,0.45000,0.50000,1.0000,0.0000
186,0.45000,0.50000,1.0000,0.0000
187,0.45000,0.50000,1.0000,0.0000
188,0.45000,0.50000,1.0000,0.0000
189,0.45000,0.50000,1.0000,0.0000
190,0.45000,0.50000,1.0000,0.0100
191,0.45000,0.50000,1.0000,0.0000
192,0.45000,0.50000,1.0000,0.0000
193,0.45000,0.50000,1.0000,0.0000
194,0.45000,0.50000,1.0000,0.0000
195,0.45000,0.50000,1.0000,0.0000
196,0.45000,0.50000,1.0000,0.0000
197,0.45000,0.50000,0.9900,0.0000
198,0.45000,0.50000,1.0000,0.0000
199,0.45000,0.50000,1.0000,0.0000
200,0.45000,0.50000,1.0000,0.0000
201,0.45000,0.50000,1.0000,0.0000
202,0.45000,0.50000,1.0000,0.0100
203,0.45000,0.50000,1.0000,0.0100
204,0.45000,0.50000,1.0000,0.0000
205,0.45000,0.50000,1.0000,0.0000
206,0.45000,0.50000,1.0000,0.0000
207,0.45000,0.50000,1.0000,0.0000
208,0.45000,0.50000,1.0000,0.0000
209,0.45000,0.50000,1.0000,0.0000
210,0.45000,0.50000,1.0000,0.0000
211,0.45000,0.50000,1.0000,0.0000
212,0.45000,0.50000,1.0000,0.0000
213,0.45000,0.50000,1.0000,0.0000
214,0.45000,0.50000,1.0000,0.0000
215,0.45000,0.50000,1.0000,0.0000
216,0.45000,0.50000,1.0000,0.0000
217,0.45000,0.50000,1.0000,0.0000
218,0.45000,0.50000,1.0000,0.0100
219,0.45000,0.50000,1.0000,0.0000
220,0.45000,0.50000,1.0000,0.0000
221,0.45000,0.50000,0.9800,0.0000
222,0.45000,0.50000,1.0000,0.0000
223,0.45000,0.50000,1.0000,0.0000
224,0.45000,0.50000,1.0000,0.0100
225,0.45000,0.50000,1.0000,0.0000
226,0.45000,0.50000,1.0000,0.0000
227,0.45000,0.50000,1.0000,0.0000
228,0.45000,0.50000,0.9900,0.0000
229,0.45000,0.50000,1.0000,0.0100
230,0.45000,0.50000,0.9900,0.0000
231,0.45000,0.50000,1.0000,0.0000
232,0.45000,0.50000,1.0000,0.0000
233,0.45000,0.50000,1.0000,0.0100
234,0.45000,0.50000,1.0000,0.0000
235,0.45000,0.50000,0.9900,0.0100
236,0.45000,0.50000,1.0000,0.0200
237,0.45000,0.50000,1.0000,0.0000
238,0.45000,0.50000,1.0000,0.0000
239,0.45000,0.50000,1.0000,0.0000
240,0.45000,0.50000,1.0000,0.0000
241,0.45000,0.50000,1.0000,0.0000
242,0.45000,0.50000,1.0000,0.0000
243,0.45000,0.50000,1.0000,0.0000
244,0.45000,0.50000,1.0000,0.0000
245,0.45000,0.50000,0.9900,0.0000
246,0.45000,0.50000,1.0000,0.0000
